"Accident_Index","accyr","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location-Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_(CC)","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type","make","model"
"2016010000005","2016","1","8","0","6","0","0","0","0","0","0","3","1","1","1","8","-1","-1","-1","3","1",\0,\0
"2016010000005","2016","2","2","0","18","0","0","0","0","0","0","1","1","6","1","5","124","1","4","4","1","YAMAHA","HW 125 XENTER"
"2016010000006","2016","1","9","0","18","0","2","2","10","1","0","4","1","6","2","7","1461","2","1","10","1","MERCEDES","A180 BLUEEFFICIENCY SPORT CDI"
"2016010000008","2016","1","9","0","18","0","4","5","0","0","0","1","1","6","1","5","1390","1","5","8","1","VOLKSWAGEN","SCIROCCO TSI"
"2016010000016","2016","1","11","0","18","0","1","0","0","0","0","0","1","1","1","8","6692","2","7","9","1","OTHER BRITISH","Missing"
"2016010000018","2016","1","9","0","12","0","0","0","0","0","0","1","1","6","1","4","1596","1","11","2","1","BMW","116i"
"2016010000018","2016","2","1","0","18","0","0","0","0","0","0","4","1","6","1","6","-1","-1","-1","6","1",\0,\0
"2016010000019","2016","1","9","0","18","0","1","0","0","1","0","2","1","6","2","6","1596","1","10","3","1","BMW","116 I SE"
"2016010000019","2016","2","9","0","18","0","1","0","0","0","0","1","1","6","1","6","1596","1","5","2","1","FORD","FOCUS ZETEC 125"
"2016010000020","2016","1","8","0","18","0","0","0","0","0","0","4","1","1","1","6","2499","2","2","2","1","LONDON TAXIS INT.","TX4 ELEGANCE AUTO"
"2016010000021","2016","1","9","0","9","0","6","0","0","0","0","1","2","6","1","5","-1","-1","-1","4","1",\0,\0
"2016010000021","2016","2","9","0","18","0","2","0","0","0","0","4","1","6","2","6","1596","1","15","7","1","FORD","FOCUS BLACK"
"2016010000023","2016","1","4","0","9","0","1","1","0","0","0","0","1","6","1","5","-1","-1","-1","-1","1",\0,\0
